wk_code,wk_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
WK152504,Voorhout Buiten,2022,4.260381582034031,0.1581167308903458,-0.03874346184589493,0.10871433050988495,0.0756232247103061,-0.030255636925603527,0.042778274441653046
WK152511,Sassenheim Midden,2002,4.05372708021512,-0.04853777092856531,NA,NA,NA,NA,NA
WK152511,Sassenheim Midden,2008,4.082476123391302,-0.01978872775238285,NA,NA,NA,NA,NA
WK152511,Sassenheim Midden,2012,4.078408124599566,-0.02385672654411957,NA,NA,NA,NA,NA
WK152511,Sassenheim Midden,2014,4.099766270252809,-0.0024985808908754912,-0.013001184931265912,0.0094566640109161,-0.005681820532169866,0.003304907940828078,0.003422852620815892
WK152511,Sassenheim Midden,2016,4.0957461414274015,-0.006518709716283925,NA,NA,NA,NA,NA
WK152511,Sassenheim Midden,2018,4.115094785409511,0.01282993426582554,-0.020007132615345712,0.035285327297540484,-0.013368936391404492,0.005177180410943122,0.0057434955640918
WK152511,Sassenheim Midden,2020,4.13188394069635,0.029619089552664672,-0.01712946468182512,0.037610916647942104,-0.014614134779664056,0.0124733331442915,0.01127843922191995
WK152511,Sassenheim Midden,2022,4.145696154559299,0.0434313034156139,-0.017694078163083563,0.060629982194643606,-0.018076902095920836,0.009421746178156616,0.009150555301817775
WK152512,Sassenheim Oost,2002,4.046997169294751,-0.055267681848934526,NA,NA,NA,NA,NA
WK152512,Sassenheim Oost,2008,4.076416772378313,-0.025848078765371943,NA,NA,NA,NA,NA
WK152512,Sassenheim Oost,2012,4.1045286481361565,0.0022637969924712946,NA,NA,NA,NA,NA
WK152512,Sassenheim Oost,2014,4.105464906505559,0.003200055361873728,-0.01345556260053489,0.0367406574228429,-0.016190825848582373,0.01432631394631159,-0.018220527558163762
WK152512,Sassenheim Oost,2016,4.157759065288325,0.05549421414464042,NA,NA,NA,NA,NA
WK152512,Sassenheim Oost,2018,4.119028893754033,0.016764042610346693,-0.025346526218182366,0.051544867846340235,-0.012899840862860196,0.014261551197062582,-0.010796009352013808
WK152512,Sassenheim Oost,2020,4.139686386900576,0.03742153575689036,-0.017894205911110087,0.04341002196903319,-0.0079409994765864,0.02593668914468194,-0.006089969969128527
WK152512,Sassenheim Oost,2022,4.162340639636452,0.06007578849276671,-0.017911365227344295,0.07718296574035642,-0.009750846681197096,0.017461842237765497,-0.006906807576814105
WK152513,Sassenheim Zuid,2002,4.146303566613311,0.04403871546962546,NA,NA,NA,NA,NA
WK152513,Sassenheim Zuid,2008,4.172126211952752,0.069861360809067,NA,NA,NA,NA,NA
WK152513,Sassenheim Zuid,2012,4.183431680579234,0.08116682943554906,NA,NA,NA,NA,NA
WK152513,Sassenheim Zuid,2014,4.244300115336176,0.14203526419249113,-0.09784472064462209,0.07186184077599482,0.09940837421063291,-0.013683913612856813,0.08229368346334204
WK152513,Sassenheim Zuid,2016,4.263311301843333,0.16104645069964862,NA,NA,NA,NA,NA
WK152513,Sassenheim Zuid,2018,4.262379495564254,0.16011464442056886,-0.10021442383950932,0.08874201818992856,0.1021348292393688,-0.014483327721000737,0.08393554855178122
WK152513,Sassenheim Zuid,2020,4.245382599894759,0.14311774875107414,-0.0944435309585956,0.07352157878765678,0.08817226996939684,-0.01044593234856839,0.08631336330118419
WK152513,Sassenheim Zuid,2022,4.237773099315846,0.13550824817216084,-0.09415526890022298,0.07970463836651633,0.07507811623638304,-0.008801349240306466,0.08368211170979058
WK152514,Sassenheim West,2002,4.063538245943626,-0.038726605200059355,NA,NA,NA,NA,NA
WK152514,Sassenheim West,2008,4.099382517508858,-0.002882333634827338,NA,NA,NA,NA,NA
WK152514,Sassenheim West,2012,4.12501822387934,0.022753372735654673,NA,NA,NA,NA,NA
WK152514,Sassenheim West,2014,4.160163863792324,0.057899012648638976,0.0031200429334999353,0.032508607627550944,0.0046228091355908565,0.013051839182078251,0.004595713769918719
WK152514,Sassenheim West,2016,4.1724967355165745,0.07023188437288887,NA,NA,NA,NA,NA
WK152514,Sassenheim West,2018,4.1677605723675955,0.06549572122391023,-0.01468976058354078,0.05368131582563469,0.0045338541551934565,0.01587690719482708,0.006093404631795476
WK152514,Sassenheim West,2020,4.209089409777641,0.1068245586339551,-0.005350596210393334,0.05106330432678756,0.006125551529059721,0.04242236708496954,0.01256393190353134
WK152514,Sassenheim West,2022,4.192354718462376,0.09008986731869108,-0.00636732336681772,0.05158880270324692,0.0029759425559244173,0.030988054221470808,0.010904391204866363
WK152515,Sassenheim buiten,2002,4.109663654594742,0.007398803451056679,NA,NA,NA,NA,NA
WK152515,Sassenheim buiten,2008,4.074597447334035,-0.027667403809649736,NA,NA,NA,NA,NA
WK152515,Sassenheim buiten,2012,4.0883919776076,-0.013872873536085174,NA,NA,NA,NA,NA
WK152515,Sassenheim buiten,2014,4.194294127051169,0.09202927590748396,-0.05897846978724339,-0.007421320941906783,0.045035082503744106,-0.04332012710128976,0.15671411123417917
WK152515,Sassenheim buiten,2016,4.23509538145154,0.1328305303078546,NA,NA,NA,NA,NA
WK152515,Sassenheim buiten,2018,4.1778160595192695,0.07555120837558398,-0.07179309760598428,-0.028914943691418046,0.06825105232283994,-0.046242733456132556,0.15425093080627872
WK152515,Sassenheim buiten,2020,4.345072870397847,0.2428080192541621,-0.027825702627277824,0.06443680658241095,0.08511836865510958,-0.01989379166956543,0.14097233831348446
WK152515,Sassenheim buiten,2022,4.162002081925912,0.05973723078222607,-0.054174011680734054,-0.015130903522308546,0.046343424049545216,-0.03361328308819015,0.11631200502391331
WK152521,Warmond,2002,4.1310067285582015,0.02874187741451614,NA,NA,NA,NA,NA
WK152521,Warmond,2008,4.141196958248584,0.03893210710489949,NA,NA,NA,NA,NA
WK152521,Warmond,2012,4.142639442259551,0.04037459111586535,NA,NA,NA,NA,NA
WK152521,Warmond,2014,4.214596172390424,0.1123313212467394,0.023211993113619333,0.03730402653149014,0.014349397109692881,0.0048884861430692145,0.03257741834886756
WK152521,Warmond,2016,4.205101347053109,0.10283649590942351,NA,NA,NA,NA,NA
WK152521,Warmond,2018,4.21109189069053,0.1088270395468442,0.010589163532494816,0.05152936176686628,0.015197723969500386,-0.006199294407607634,0.03771008468559013
WK152521,Warmond,2020,4.231243751263751,0.1289789001200653,0.015953653288850043,0.05538675782442392,0.01712309217653757,-4.955045695642843e-4,0.04101090139981777
WK152521,Warmond,2022,4.220203776860834,0.11793892571714808,0.010834338647358138,0.07367082081819144,0.005554969367340786,-0.006592581094187578,0.03447137797844505
WK152522,Warmond buiten,2002,4.3596273010849265,0.25736244994124163,NA,NA,NA,NA,NA
WK152522,Warmond buiten,2008,4.376450251509259,0.2741854003655735,NA,NA,NA,NA,NA
WK152522,Warmond buiten,2012,4.3250472250152265,0.22278237387154134,NA,NA,NA,NA,NA
WK152522,Warmond buiten,2014,4.389143388380445,0.2868785372367602,0.04138904628598787,0.10583817862010085,0.11026486449900949,-0.06328257729776049,0.09266902512942218
WK152522,Warmond buiten,2016,4.40096181934032,0.29869696819663416,NA,NA,NA,NA,NA
WK152522,Warmond buiten,2018,4.372933521455378,0.27066867031169306,0.02590185253824728,0.1042414990092949,0.12048857804346735,-0.06892484312231299,0.08896158384299628
WK152522,Warmond buiten,2020,4.382564314312896,0.28029946316921067,0.03339647586275483,0.09916680707924212,0.1224949837711334,-0.06535628862754897,0.090597485083629
WK152522,Warmond buiten,2022,4.365400590350993,0.26313573920730793,0.029494871295904435,0.11998358193065169,0.09241253965895946,-0.06966251907261815,0.09090726539441024
WK158100,Doorn,2002,4.180501859255411,0.07823700811172576,NA,NA,NA,NA,NA
WK158100,Doorn,2008,4.188055615142102,0.08579076399841704,NA,NA,NA,NA,NA
WK158100,Doorn,2012,4.14203738095201,0.03977252980832457,NA,NA,NA,NA,NA
WK158100,Doorn,2014,4.167276268387784,0.06501141724409895,0.04740588678737765,0.013174884003089903,0.044934776291579645,-0.05105734014642571,0.01055321030847716
WK158100,Doorn,2016,4.147311918817586,0.04504706767390006,NA,NA,NA,NA,NA
WK158100,Doorn,2018,4.179867982822376,0.07760313167869043,0.03862483033666592,0.05579146603451213,0.036218093866960094,-0.05076054406831585,-0.0022707144911321437
WK158100,Doorn,2020,4.211291859925366,0.10902700878168001,0.04104160463569419,0.06664033030314832,0.03477507608071575,-0.0369947075477058,0.0035647053098272438
WK158100,Doorn,2022,4.22916819130514,0.12690334016145466,0.048518861332923956,0.07234366628563717,0.030536672215028506,-0.040622253050633425,0.016126393378498183
WK158101,Driebergen,2002,4.170934466331946,0.06866961518826106,NA,NA,NA,NA,NA
WK158101,Driebergen,2008,4.167706991534542,0.06544214039085756,NA,NA,NA,NA,NA
WK158101,Driebergen,2012,4.17284372457318,0.070578873429495,NA,NA,NA,NA,NA
WK158101,Driebergen,2014,4.209892778667224,0.10762792752353852,0.01400653261749542,0.062369589917310855,0.020824103310090148,-0.0048480402248392085,0.015275741903481015
